Crypto,Address identifier,Txid,Vout,Value,Escrow model,Revealed payload,Redeem script,Witness script
BCH,004e807aeef650eca0a4850edef132aa6856de58a6,21f3255436e15b823ecfcabce2ed128b6f8a50b82e6b3b19ad5de0996be2be45,0,636942700,checkdatasig_v1,release_by_seller:04942b03b4d62d7bf06e0ab1b635261c83a4cacf2f9a01a89f6a2d74ed750192e3c0854dca82daa357924ce62f5faf372f3474223af1ac9c87c176e3dc82d05d5f:304402203d8cd71270b5b13535f9faef5b0c8536a81c3f71ccdd76f7976903a40d90a6fa02205f4f93645e7206060b1c0143b33025f3d2757f6e11fe0b9175e84905bc5c4b67,7651876314fa7d51cab277387bbdfba3907aabb2051ec50b39144e807aeef650eca0a4850edef132aa6856de58a6677652876314e99e406caddb86a1c02510c1dc6a635775289d2a144e807aeef650eca0a4850edef132aa6856de58a66776538763144e807aeef650eca0a4850edef132aa6856de58a614fa7d51cab277387bbdfba3907aabb2051ec50b396776548814e99e406caddb86a1c02510c1dc6a635775289d2a14fa7d51cab277387bbdfba3907aabb2051ec50b396868686b6b102766913edf2448f3928e36ba347104787e7c76a96c88bb76a96c88ac,
BCH,00240ea5a3fa15d587049161401d3579f2c54f3815,bd4663a9f80d5b960eed64c72e1ead3199e1a71ef4baf1a58ab4880f0407fea3,0,108646758,checkdatasig_v1,return_by_arbitrator:03d822b06f3e4f16f2372eec9e94f322fec7f6b19aa88cf5bae81b365045356567:304402204dd9dbe0ddc4758183070424cd3cad582429a379ce7388e1b0f631351c2f049a02206e8297b3426689177dd15dec2c0967a4219fcfe12c740a3797e0d5657e5d3dce,7651876314240ea5a3fa15d587049161401d3579f2c54f381514e4bc581c46a6239daa5bd354e51341e5a0fa3941677652876314e99e406caddb86a1c02510c1dc6a635775289d2a14e4bc581c46a6239daa5bd354e51341e5a0fa3941677653876314e4bc581c46a6239daa5bd354e51341e5a0fa394114240ea5a3fa15d587049161401d3579f2c54f38156776548814e99e406caddb86a1c02510c1dc6a635775289d2a14240ea5a3fa15d587049161401d3579f2c54f38156868686b6b10559901960808434e9b9a36668263c3f17e7c76a96c88bb76a96c88ac,
BCH,00240ea5a3fa15d587049161401d3579f2c54f3815,bd4663a9f80d5b960eed64c72e1ead3199e1a71ef4baf1a58ab4880f0407fea3,1,1098242,checkdatasig_v1,return_by_arbitrator:03d822b06f3e4f16f2372eec9e94f322fec7f6b19aa88cf5bae81b365045356567:304402204dd9dbe0ddc4758183070424cd3cad582429a379ce7388e1b0f631351c2f049a02206e8297b3426689177dd15dec2c0967a4219fcfe12c740a3797e0d5657e5d3dce,7452876376a914e99e406caddb86a1c02510c1dc6a635775289d2a88ac677653876314e4bc581c46a6239daa5bd354e51341e5a0fa39416776548814e99e406caddb86a1c02510c1dc6a635775289d2a6814240ea5a3fa15d587049161401d3579f2c54f38156b6b10559901960808434e9b9a36668263c3f17e7c76a96c88bb76a96c88ac68,
BCH,0039f1fe30c8b7d270309cc52d1df572ae327a8b6a,ca246ec74329616cc4f87715fb25cf646c7fb355ab58e2a51b22671c0537188a,0,6089400,checkdatasig_v1,release_by_seller:0447636a622abb31f3851de65617a64e92b6aa6787049d0b605de4a4568099b52aabccf5cd5a49b872687e50f6b106d7d3b61b174e1006c458b9e90703facff333:3045022100dfd1743f90f63a7c2cd49e8edc37519d4259220be5d1d46b94800ba93489f3a702201687d9c93efd0ebf1e745a1b9ea263b816d12eac4824a99dc3e98b271a7f8431,7651876314629f3e0cd12d7145c3775e25b7b48b596dfef6181439f1fe30c8b7d270309cc52d1df572ae327a8b6a677652876314e99e406caddb86a1c02510c1dc6a635775289d2a1439f1fe30c8b7d270309cc52d1df572ae327a8b6a67765387631439f1fe30c8b7d270309cc52d1df572ae327a8b6a14629f3e0cd12d7145c3775e25b7b48b596dfef6186776548814e99e406caddb86a1c02510c1dc6a635775289d2a14629f3e0cd12d7145c3775e25b7b48b596dfef6186868686b6b105d2064250cc1456bb5fdeae080099b2d7e7c76a96c88bb76a96c88ac,
BCH,00a9effc9698d96c2e406b7881411f4d41dbef5a72,73e573b04eadb986ffe5dab3a3045e2637ac38614e00959ca9975ace507c5ead,0,18909900,checkdatasig_v1,return_by_arbitrator:03d822b06f3e4f16f2372eec9e94f322fec7f6b19aa88cf5bae81b365045356567:3045022100c7a8154ee6262a96bf148be8c05d96775f0a1317d444a386e71f1d96222e90ac02205ed7d30683864861ddd2db04f3f6c570beda1b9591dbbcaeca6e302e06ec5743,7651876314a9effc9698d96c2e406b7881411f4d41dbef5a7214c8573ed635bebf24362afba8b4a71d319e2936a0677652876314e99e406caddb86a1c02510c1dc6a635775289d2a14c8573ed635bebf24362afba8b4a71d319e2936a0677653876314c8573ed635bebf24362afba8b4a71d319e2936a014a9effc9698d96c2e406b7881411f4d41dbef5a726776548814e99e406caddb86a1c02510c1dc6a635775289d2a14a9effc9698d96c2e406b7881411f4d41dbef5a726868686b6b10bd0065611340441ca0acc079dc8c73317e7c76a96c88bb76a96c88ac,
BCH,00a9effc9698d96c2e406b7881411f4d41dbef5a72,73e573b04eadb986ffe5dab3a3045e2637ac38614e00959ca9975ace507c5ead,1,191100,checkdatasig_v1,return_by_arbitrator:03d822b06f3e4f16f2372eec9e94f322fec7f6b19aa88cf5bae81b365045356567:3045022100c7a8154ee6262a96bf148be8c05d96775f0a1317d444a386e71f1d96222e90ac02205ed7d30683864861ddd2db04f3f6c570beda1b9591dbbcaeca6e302e06ec5743,7452876376a914e99e406caddb86a1c02510c1dc6a635775289d2a88ac677653876314c8573ed635bebf24362afba8b4a71d319e2936a06776548814e99e406caddb86a1c02510c1dc6a635775289d2a6814a9effc9698d96c2e406b7881411f4d41dbef5a726b6b10bd0065611340441ca0acc079dc8c73317e7c76a96c88bb76a96c88ac68,
BTC,007e6563d8916438a8d88232395c5d3359c5a94c9a,f74628ca082fabf24193db4f02d910e993b17e91f3298c4def022dbbae4b820e,1,2500,commit_reveal_v1,return_by_arbitrator:0aba62f376ec2143f83e8a9623a130a930a92accce77e8fcf872a3c14ab77c20,00204d9f59f07342ee5d1cfe9f1161c38de61715f89a8c188123cbf709cc7c7b144d,7653876375a9148855ef8b463d700146754b91aa48634e884e69a68876a9149c82c18e20e79733c1984ec59aa7dfa13d98611b88ac677654876375a914488a742e34534fe4282436f7fe28dcb80781a02e8876a9149c82c18e20e79733c1984ec59aa7dfa13d98611b88ac6776a914b21593335313b125c5abf055e92ce0048ed25c0a88ac6868
BTC,00cfa3dd1c131d63dd7441c0f189ba026a78cc2810,0b0def718cec57eae7d30a1df204581a52af183008f6963d2c9443259f37b524,1,4116,commit_reveal_v1,return_by_buyer:e458a813b4bd477b8da36f5c651e03f71ef125a88e1bf3d24cbd39917c72ce67,00206e229c38eb153debcb04aa75e1ff23af7664c4a676d00a8ea334379896cf5344,7653876375a9149576840537804e1776b42cbc4f6789363d9cbd5b8876a914765eacc51173c877ea81a28f09bcba81389144b188ac677654876375a91438baa2fbde852b88a74c4b47fb76089d244171008876a914765eacc51173c877ea81a28f09bcba81389144b188ac6776a914b21593335313b125c5abf055e92ce0048ed25c0a88ac6868
BTC,007cf5f4e0375b737af26121bc1b2afce9db7eb238,a5271e8bd9f7c08fcf3126ed45c2701cc2b899190166011e96bedb458007b211,0,980100,commit_reveal_v1,release_by_seller:12b87c1de45fc62ede123e92cdfe6545a9df09963fd84b6bd1c1d3aee0dc247f,0020bdc1f48ffa663c472b0c320330d9992b85e63441b7a30447f68a029994d7c1f3,765187637514175fedd2368d09fd0de11a62e6021b159e49f1fc1484a54107b5d42c8a5b34e8aed48f0c8b1894abe567765287637514175fedd2368d09fd0de11a62e6021b159e49f1fc14a665f60bb522c37b7621f112618664a35c2eff26677653876375149afeab065c20299c96159f5a67f0b4e195f3bc2714c28f21a5586162a48784e2d7fbe8869dcce7e372675488149afeab065c20299c96159f5a67f0b4e195f3bc2714e92adfc9bfaab850e8a71099ea7d2946d64784486868687ba98878a988ac
BTC,00a9a22837538ce6fe999243840cd8574ae4764282,fc18edca6cbaccb43d4917c123eebd0a7121d58bf6aa6c55d3545db993cec192,1,2100,commit_reveal_v1,return_by_arbitrator:17a7d0a2d29b4571d642efad1f913f8419891fd7969e4db9aa524359c0b6d4f5,0020fc1f2038bbd6221cdf60951a94c582b67dc75f3feb732f2f424bd0193637d5f9,7653876375a914de38695bbdab0f5744614b293c51d543a491f7158876a914a188f0c231328aff0d46026ab203679c132a35f188ac677654876375a9142df446ca6ba6155a43261be399a75f302a9e9fe38876a914a188f0c231328aff0d46026ab203679c132a35f188ac6776a914b21593335313b125c5abf055e92ce0048ed25c0a88ac6868
